RegionFromID,RegionFromName
GM0358,Aalsmeer
GM0197,Aalten
GM0059,Achtkarspelen
GM0482,Alblasserdam
GM0613,Albrandswaard
GM0361,Alkmaar
GM0141,Almelo
GM0034,Almere
GM0484,Alphen aan den Rijn
GM1723,Alphen-Chaam
GM1959,Altena
GM0060,Ameland
GM0307,Amersfoort
GM0362,Amstelveen
GM0363,Amsterdam
GM0200,Apeldoorn
GM0202,Arnhem
GM0106,Assen
GM0743,Asten
GM0744,Baarle-Nassau
GM0308,Baarn
GM0489,Barendrecht
GM0203,Barneveld
GM0888,Beek
GM1954,Beekdaelen
GM0889,Beesel
GM1945,Berg en Dal
GM1724,Bergeijk
GM0893,Bergen (L.)
GM0373,Bergen (NH.)
GM0748,Bergen op Zoom
GM1859,Berkelland
GM1721,Bernheze
GM0753,Best
GM0209,Beuningen
GM0375,Beverwijk
GM0310,Bilt De
GM1728,Bladel
GM0376,Blaricum
GM0377,Bloemendaal
GM1901,Bodegraven-Reeuwijk
GM0755,Boekel
GM1681,Borger-Odoorn
GM0147,Borne
GM0654,Borsele
GM0757,Boxtel
GM0758,Breda
GM1876,Bronckhorst
GM0213,Brummen
GM0899,Brunssum
GM0312,Bunnik
GM0313,Bunschoten
GM0214,Buren
GM0502,Capelle aan den IJssel
GM0383,Castricum
GM0109,Coevorden
GM1706,Cranendonck
GM0216,Culemborg
GM0148,Dalfsen
GM1891,Dantumadiel
GM0503,Delft
GM0762,Deurne
GM0150,Deventer
GM0384,Diemen
GM1774,Dinkelland
GM0221,Doesburg
GM0222,Doetinchem
GM0766,Dongen
GM0505,Dordrecht
GM0498,Drechterland
GM1719,Drimmelen
GM0303,Dronten
GM0225,Druten
GM0226,Duiven
GM1711,Echt-Susteren
GM0385,Edam-Volendam
GM0228,Ede
GM0317,Eemnes
GM1979,Eemsdelta
GM0770,Eersel
GM1903,Eijsden-Margraten
GM0772,Eindhoven
GM0230,Elburg
GM0114,Emmen
GM0388,Enkhuizen
GM0153,Enschede
GM0232,Epe
GM0233,Ermelo
GM0777,Etten-Leur
GM1940,Fryske Marren De
GM0779,Geertruidenberg
GM1771,Geldrop-Mierlo
GM1652,Gemert-Bakel
GM0907,Gennep
GM0784,Gilze en Rijen
GM1924,Goeree-Overflakkee
GM0664,Goes
GM0785,Goirle
GM1942,Gooise Meren
GM0512,Gorinchem
GM0513,Gouda
GM0518,Gravenhage 's-
GM0014,Groningen
GM1729,Gulpen-Wittem
GM0158,Haaksbergen
GM0392,Haarlem
GM0394,Haarlemmermeer
GM1655,Halderberge
GM0160,Hardenberg
GM0243,Haren
